postcode,city,street,number
04-997,Warszawa,Werbeny,2
10-003,Olsztyn,Pieniężnego Seweryna,1
10-004,Olsztyn,Pieniężnego Seweryna,21
10-005,Olsztyn,Pieniężnego Seweryna,2
10-006,Olsztyn,Pieniężnego Seweryna,8
10-007,Olsztyn,Szrajbera Feliksa,1
10-008,Olsztyn,Szrajbera Feliksa,2
10-013,Olsztyn,Mariańska,2
10-017,Olsztyn,Staromiejska,1
10-018,Olsztyn,Staromiejska,2
10-019,Olsztyn,Targ Rybny,1
10-020,Olsztyn,Targ Rybny,2
10-026,Olsztyn,Stare Miasto,1
10-027,Olsztyn,Stare Miasto,2
10-028,Olsztyn,Prosta,1
10-029,Olsztyn,Prosta,2
10-031,Olsztyn,Mieszka I,1
10-032,Olsztyn,Mieszka I,2
10-034,Olsztyn,Kołłątaja Hugona,1
10-035,Olsztyn,Kołłątaja Hugona,2
10-036,Olsztyn,Mochnackiego Maurycego,1
10-037,Olsztyn,Mochnackiego Maurycego,2
10-049,Olsztyn,Pstrowskiego Wincentego,1
10-050,Olsztyn,Pstrowskiego Wincentego,2
10-052,Olsztyn,Mariańska,4
10-063,Olsztyn,Sielska,1
10-091,Olsztyn,Dywizjonu,303
10-103,Olsztyn,11 Listopada,1
10-104,Olsztyn,11 Listopada,2
10-105,Olsztyn,Wyzwolenia,1
10-106,Olsztyn,Wyzwolenia,2
10-117,Olsztyn,1 Maja,1
10-118,Olsztyn,1 Maja,2
10-119,Olsztyn,1 Maja,19
10-120,Olsztyn,1 Maja,20
10-123,Olsztyn,Grunwaldzka,1
10-124,Olsztyn,Grunwaldzka,2
10-125,Olsztyn,Grunwaldzka,31
10-126,Olsztyn,Grunwaldzka,26
10-129,Olsztyn,Kromera Marcina,1
10-130,Olsztyn,Kromera Marcina,2
10-131,Olsztyn,Królowej Jadwigi,1
10-132,Olsztyn,Królowej Jadwigi,2
10-135,Olsztyn,Bałtycka,1
10-136,Olsztyn,Bałtycka,2
10-144,Olsztyn,Bałtycka,37
10-149,Olsztyn,Rybaki,1
10-150,Olsztyn,Rybaki,2
10-153,Olsztyn,Jeziorna,8
10-165,Olsztyn,Artyleryjska,2
10-166,Olsztyn,Artyleryjska,11
10-167,Olsztyn,Artyleryjska,14
10-169,Olsztyn,Kromera Marcina,1
10-175,Olsztyn,Bałtycka,39
10-176,Olsztyn,Bałtycka,6
10-201,Olsztyn,Rataja Macieja,1
10-202,Olsztyn,Rataja Macieja,2
10-203,Olsztyn,Rataja Macieja,13
10-204,Olsztyn,Rataja Macieja,22
10-205,Olsztyn,Radiowa,1
10-206,Olsztyn,Radiowa,2
10-207,Olsztyn,Radiowa,25
10-208,Olsztyn,Radiowa,26
10-209,Olsztyn,Fałata Juliana,1
10-210,Olsztyn,Fałata Juliana,2
10-211,Olsztyn,Fałata Juliana,21
10-212,Olsztyn,Fałata Juliana,14
10-213,Olsztyn,Oficerska,1
10-214,Olsztyn,Oficerska,2
10-215,Olsztyn,Oficerska,7
10-216,Olsztyn,Oficerska,6
10-217,Olsztyn,Oficerska,17
10-218,Olsztyn,Oficerska,16
10-219,Olsztyn,Kasprowicza Jana,1
10-220,Olsztyn,Kasprowicza Jana,2
10-221,Olsztyn,Kasprowicza Jana,9
10-222,Olsztyn,Kasprowicza Jana,12
10-234,Olsztyn,Baczewskiego Jana,1
10-235,Olsztyn,Baczewskiego Jana,2
10-237,Olsztyn,Jagiellońska,61
10-238,Olsztyn,Jagiellońska,58
10-239,Olsztyn,Jagiellońska,75
10-240,Olsztyn,Jagiellońska,68
10-245,Olsztyn,Toruńska,1
10-246,Olsztyn,Toruńska,2
10-247,Olsztyn,Sawickiej Hanki,1
10-248,Olsztyn,Sawickiej Hanki,2
10-249,Olsztyn,Sawickiej Hanki,29
10-250,Olsztyn,Sawickiej Hanki,12
10-251,Olsztyn,Katowicka,1
10-252,Olsztyn,Katowicka,2
10-258,Olsztyn,Wiosenna,2
10-259,Olsztyn,Rataja Macieja,50
10-260,Olsztyn,Rataja Macieja,60
10-261,Olsztyn,Rataja Macieja,82
10-262,Olsztyn,Rataja Macieja,94
10-267,Olsztyn,Sienkiewicza Henryka,2
10-268,Olsztyn,Sienkiewicza Henryka,10
10-269,Olsztyn,Sienkiewicza Henryka,12
10-271,Olsztyn,Jagiellońska,2
10-272,Olsztyn,Jagiellońska,12
10-273,Olsztyn,Jagiellońska,24
10-274,Olsztyn,Jagiellońska,48
10-279,Olsztyn,Zamenhofa Ludwika,2
10-280,Olsztyn,Zamenhofa Ludwika,8
10-281,Olsztyn,Poprzeczna,2
10-282,Olsztyn,Poprzeczna,14
10-283,Olsztyn,Jagiellońska,52
10-294,Olsztyn,Puszkina Aleksandra,2
10-295,Olsztyn,Puszkina Aleksandra,14
10-314,Olsztyn,Paderewskiego Ignacego,2
10-315,Olsztyn,Paderewskiego Ignacego,16
10-319,Olsztyn,Porzeczkowa,1
10-320,Olsztyn,Porzeczkowa,2
10-321,Olsztyn,Wiśniowa,1
10-322,Olsztyn,Wiśniowa,2
10-323,Olsztyn,Jeżynowa,1
10-324,Olsztyn,Jeżynowa,2
10-325,Olsztyn,Morelowa,1
10-326,Olsztyn,Morelowa,2
10-329,Olsztyn,Czereśniowa,1
10-330,Olsztyn,Czereśniowa,2
10-333,Olsztyn,Reymonta Władysława,1
10-334,Olsztyn,Reymonta Władysława,2
10-335,Olsztyn,Reymonta Władysława,33
10-336,Olsztyn,Reymonta Władysława,24
10-339,Olsztyn,Poprzeczna,20
10-340,Olsztyn,Limanowskiego Bolesława,1
10-341,Olsztyn,Limanowskiego Bolesława,2
10-342,Olsztyn,Limanowskiego Bolesława,13
10-343,Olsztyn,Limanowskiego Bolesława,14
10-345,Olsztyn,Niedziałkowskiego Mieczysława,1
10-346,Olsztyn,Niedziałkowskiego Mieczysława,2
10-347,Olsztyn,Niedziałkowskiego Mieczysława,13
10-348,Olsztyn,Niedziałkowskiego Mieczysława,14
10-350,Olsztyn,Żeromskiego Stefana,1
10-351,Olsztyn,Żeromskiego Stefana,2
10-352,Olsztyn,Żeromskiego Stefana,9
10-353,Olsztyn,Żeromskiego Stefana,10
10-354,Olsztyn,Żeromskiego Stefana,15
10-355,Olsztyn,Żeromskiego Stefana,20
10-356,Olsztyn,Jagiellońska,87
10-357,Olsztyn,Jagiellońska,78
10-358,Olsztyn,Diernowa Piotra,1
10-359,Olsztyn,Diernowa Piotra,2
10-360,Olsztyn,Wiosenna,1
10-361,Olsztyn,Wiosenna,4
10-362,Olsztyn,Letnia,1
10-363,Olsztyn,Letnia,2
10-364,Olsztyn,Tracka,1
10-365,Olsztyn,Tracka,2
10-366,Olsztyn,Wrzosowa,1
10-367,Olsztyn,Wrzosowa,2
10-368,Olsztyn,Turystyczna,1
10-369,Olsztyn,Turystyczna,2
10-401,Olsztyn,Partyzantów,44
10-402,Olsztyn,Partyzantów,39
10-404,Olsztyn,Lubelska,1
10-405,Olsztyn,Lubelska,2
10-406,Olsztyn,Lubelska,19
10-407,Olsztyn,Lubelska,26
10-408,Olsztyn,Lubelska,31
10-409,Olsztyn,Lubelska,32
10-410,Olsztyn,Lubelska,43
10-413,Olsztyn,Dworcowa,1
10-414,Olsztyn,Dworcowa,2
10-416,Olsztyn,Towarowa,1
10-417,Olsztyn,Towarowa,2
10-421,Olsztyn,Składowa,1
10-422,Olsztyn,Składowa,2
10-423,Olsztyn,Kętrzyńskiego Wojciecha,9
10-430,Olsztyn,Kołobrzeska,20
10-431,Olsztyn,Kołobrzeska,15
10-432,Olsztyn,Kołobrzeska,30
10-433,Olsztyn,Kołobrzeska,31
10-434,Olsztyn,Kołobrzeska,36
10-436,Olsztyn,Dworcowa,10
10-437,Olsztyn,Dworcowa,22
10-438,Olsztyn,Dworcowa,11
10-442,Olsztyn,Kołobrzeska,1
10-443,Olsztyn,Kołobrzeska,2
10-444,Olsztyn,Kołobrzeska,7
10-445,Olsztyn,Kołobrzeska 13F,13
10-447,Olsztyn,Głowackiego Bartosza,1
10-448,Olsztyn,Głowackiego Bartosza,2
10-460,Olsztyn,Pana Tadeusza,1
10-461,Olsztyn,Pana Tadeusza,2
10-462,Olsztyn,Soplicy,1
10-463,Olsztyn,Soplicy,2
10-464,Olsztyn,Świtezianki,1
10-465,Olsztyn,Świtezianki,2
10-501,Olsztyn,Kościuszki Tadeusza,1
10-502,Olsztyn,Kościuszki Tadeusza,2
10-503,Olsztyn,Kościuszki Tadeusza,25
10-504,Olsztyn,Kościuszki Tadeusza,16
10-506,Olsztyn,Kętrzyńskiego Wojciecha,1
10-507,Olsztyn,Kętrzyńskiego Wojciecha,2
10-508,Olsztyn,Mickiewicza Adama,15
10-509,Olsztyn,Mickiewicza Adama,10
10-510,Olsztyn,Kopernika Mikołaja,1
10-511,Olsztyn,Kopernika Mikołaja,2
10-512,Olsztyn,Kopernika Mikołaja,15
10-513,Olsztyn,Kopernika Mikołaja,18
10-517,Olsztyn,Mazurska,1
10-518,Olsztyn,Mazurska,2
10-519,Olsztyn,Mazurska,9
10-520,Olsztyn,Mazurska,8
10-521,Olsztyn,Partyzantów,2
10-522,Olsztyn,Partyzantów,1
10-523,Olsztyn,Partyzantów,56
10-524,Olsztyn,Partyzantów,13
10-525,Olsztyn,Partyzantów,72
10-526,Olsztyn,Partyzantów,23
10-527,Olsztyn,Partyzantów,78
10-528,Olsztyn,Lanca Jerzego,1
10-529,Olsztyn,Lanca Jerzego,2
10-530,Olsztyn,Samulowskiego Andrzeja,1
10-531,Olsztyn,Samulowskiego Andrzeja,2
10-534,Olsztyn,Linki Bogumiła,1
10-535,Olsztyn,Linki Bogumiła,2
10-536,Olsztyn,Mrongowiusza Krzysztofa,1
10-537,Olsztyn,Mrongowiusza Krzysztofa,2
10-538,Olsztyn,Dąbrowszczaków,1
10-539,Olsztyn,Dąbrowszczaków,2
10-540,Olsztyn,Dąbrowszczaków,9
10-541,Olsztyn,Dąbrowszczaków,18
10-542,Olsztyn,Dąbrowszczaków,31
10-543,Olsztyn,Dąbrowszczaków,42
10-544,Olsztyn,Warmińska,1
10-545,Olsztyn,Warmińska,2
10-546,Olsztyn,Kajki Michała,1
10-547,Olsztyn,Kajki Michała,2
10-548,Olsztyn,Mickiewicza Adama,1
10-549,Olsztyn,Mickiewicza Adama,2
10-550,Olsztyn,Mickiewicza Adama,9
10-551,Olsztyn,Mickiewicza Adama,6
10-552,Olsztyn,Kościuszki Tadeusza,67
10-553,Olsztyn,Kościuszki Tadeusza,68
10-554,Olsztyn,Kościuszki Tadeusza,89
10-555,Olsztyn,Kościuszki Tadeusza,72
10-556,Olsztyn,Żołnierska,1
10-557,Olsztyn,Żołnierska,2
10-558,Olsztyn,Żołnierska,9
10-559,Olsztyn,Żołnierska 6A,12
10-560,Olsztyn,Żołnierska,17
10-561,Olsztyn,Żołnierska,14
10-563,Olsztyn,Głowackiego Bartosza,27
10-564,Olsztyn,Głowackiego Bartosza,30
10-572,Olsztyn,22 Stycznia,1
10-573,Olsztyn,22 Stycznia,2
10-583,Olsztyn,Kościńskiego Ernesta,1
10-584,Olsztyn,Kościńskiego Ernesta,2
10-587,Olsztyn,Kościuszki Tadeusza,51
10-588,Olsztyn,Kościuszki Tadeusza,56
10-601,Olsztyn,Pstrowskiego Wincentego,15
10-602,Olsztyn,Pstrowskiego Wincentego,12
10-604,Olsztyn,Hibnera Władysława,1
10-605,Olsztyn,Hibnera Władysława,2
10-606,Olsztyn,Obrońców,1
10-607,Olsztyn,Obrońców,2
10-608,Olsztyn,Gdyńska,1
10-609,Olsztyn,Gdyńska,2
10-610,Olsztyn,Ludowa,1
10-611,Olsztyn,Ludowa,2
10-614,Olsztyn,Kręta,1
10-615,Olsztyn,Kręta,2
10-616,Olsztyn,Stefczyka Franciszka,1
10-617,Olsztyn,Stefczyka Franciszka,2
10-619,Olsztyn,Plażowa,1
10-620,Olsztyn,Plażowa,2
10-621,Olsztyn,Koszalińska,1
10-622,Olsztyn,Koszalińska,2
10-623,Olsztyn,Walecznych,1
10-624,Olsztyn,Walecznych,2
10-625,Olsztyn,Opolska,1
10-626,Olsztyn,Opolska,2
10-629,Olsztyn,Szczytnowska,1
10-630,Olsztyn,Szczytnowska,2
10-631,Olsztyn,Gołdapska,1
10-632,Olsztyn,Gołdapska,2
10-633,Olsztyn,Gołdapska,39
10-634,Olsztyn,Gołdapska,4
10-635,Olsztyn,Czeska,1
10-636,Olsztyn,Czeska,2
10-637,Olsztyn,Spółdzielcza,1
10-638,Olsztyn,Spółdzielcza,2
10-642,Olsztyn,Niborska,1
10-643,Olsztyn,Niborska,2
10-644,Olsztyn,Przydziałowa,1
10-645,Olsztyn,Przydziałowa,2
10-646,Olsztyn,Pogodna,1
10-647,Olsztyn,Pogodna,2
10-648,Olsztyn,Krótka,1
10-649,Olsztyn,Krótka,2
10-650,Olsztyn,Dobra,1
10-651,Olsztyn,Dobra,2
10-652,Olsztyn,Wesoła,1
10-653,Olsztyn,Wesoła,2
10-654,Olsztyn,Spokojna,1
10-655,Olsztyn,Spokojna,2
10-656,Olsztyn,Spacerowa,1
10-657,Olsztyn,Spacerowa,2
10-658,Olsztyn,Ustronie,1
10-659,Olsztyn,Ustronie,2
10-660,Olsztyn,Graniczna,1
10-661,Olsztyn,Graniczna,2
10-664,Olsztyn,Masztowa,1
10-665,Olsztyn,Masztowa,2
10-705,Olsztyn,Astronomów,1
10-706,Olsztyn,Astronomów,2
10-707,Olsztyn,Promienista,1
10-708,Olsztyn,Promienista,2
10-709,Olsztyn,Słoneczna,1
10-710,Olsztyn,Słoneczna,2
10-747,Olsztyn,Tuwima Juliana,1
10-748,Olsztyn,Tuwima Juliana,2
10-801,Olsztyn,Sielska,3
10-802,Olsztyn,Sielska,2
10-804,Olsztyn,Rolna,1
10-805,Olsztyn,Rolna,2
10-806,Olsztyn,Zbożowa,1
10-807,Olsztyn,Zbożowa,2
10-808,Olsztyn,Konopna,1
10-809,Olsztyn,Konopna,2
10-810,Olsztyn,Żniwna,1
10-811,Olsztyn,Żniwna,2
10-812,Olsztyn,Ogrodnicza,1
10-813,Olsztyn,Ogrodnicza,2
10-814,Olsztyn,Jęczmienna,1
10-815,Olsztyn,Jęczmienna,2
10-816,Olsztyn,Nasienna,1
10-817,Olsztyn,Nasienna,2
10-818,Olsztyn,Kłosowa,1
10-819,Olsztyn,Kłosowa,2
10-822,Olsztyn,Żytnia,1
10-823,Olsztyn,Żytnia,2
10-824,Olsztyn,Gronowa,1
10-825,Olsztyn,Gronowa,2
10-828,Olsztyn,Traktorowa,1
10-829,Olsztyn,Traktorowa,2
10-830,Olsztyn,Siewna,1
10-831,Olsztyn,Siewna,2
10-832,Olsztyn,Pszenna,1
10-833,Olsztyn,Pszenna,2
10-834,Olsztyn,Widok,1
10-835,Olsztyn,Widok,2
10-836,Olsztyn,Okrągła,1
10-837,Olsztyn,Okrągła,2
10-838,Olsztyn,Kąkolowa,1
10-839,Olsztyn,Kąkolowa,2
10-840,Olsztyn,Chmielna,1
10-841,Olsztyn,Chmielna,2
10-842,Olsztyn,Chabrowa,1
10-843,Olsztyn,Chabrowa,2
10-844,Olsztyn,Rzepakowa,1
10-845,Olsztyn,Rzepakowa,2
10-846,Olsztyn,Strąkowa,1
10-847,Olsztyn,Strąkowa,2
10-848,Olsztyn,Makowa,1
10-849,Olsztyn,Makowa,2
10-850,Olsztyn,Pługi,1
10-851,Olsztyn,Pługi,2
10-852,Olsztyn,Jeziorna,3
10-853,Olsztyn,Jeziorna,2
10-854,Olsztyn,Jeziorna,10
15-002,Białystok,Sienkiewicza Henryka,47
15-003,Białystok,Sienkiewicza Henryka,65
15-004,Białystok,Sienkiewicza Henryka,28
15-005,Białystok,Sienkiewicza Henryka,76
15-010,Białystok,Ogrodowa,1
15-011,Białystok,Ogrodowa,2
15-013,Białystok,Sobieskiego Jana,1
15-014,Białystok,Sobieskiego Jana,2
15-027,Białystok,Ogrodowa,6
15-028,Białystok,Słonimska,2
15-029,Białystok,Słonimska,32
15-042,Białystok,Pałacowa,2
15-044,Białystok,Piasta,2
15-045,Białystok,Piasta,80
15-047,Białystok,Wiktorii,14
15-048,Białystok,Skorupska,18
15-055,Białystok,Wołyńska,148
15-062,Białystok,Warszawska,1
15-063,Białystok,Warszawska,2
15-064,Białystok,Pałacowa,4
15-070,Białystok,Wiktorii,2
15-077,Białystok,Warszawska,24
15-078,Białystok,Warszawska,70
15-082,Białystok,Świętojańska,2
15-083,Białystok,Orzeszkowej Elizy,2
15-084,Białystok,Orzeszkowej Elizy,30
15-091,Białystok,Rynek Kościuszki,1
15-092,Białystok,Sienkiewicza Henryka,2
15-093,Białystok,Suraska,1
15-099,Białystok,Legionowa,2
15-114,Białystok,Poleska,30
15-115,Białystok,Nowogródzka,10
15-117,Białystok,Wasilkowska,1
15-118,Białystok,Wasilkowska,55
15-119,Białystok,Fabryczna,83
15-120,Białystok,Fabryczna,52
15-122,Białystok,Wąska,37
15-123,Białystok,Wąska,26
15-137,Białystok,Wasilkowska,2
15-147,Białystok,27 Lipca,26
15-152,Białystok,Odległa,2
15-159,Białystok,Odległa,26
15-178,Białystok,Wasilkowska,50
15-181,Białystok,27 Lipca,1
15-182,Białystok,27 Lipca,2
15-192,Białystok,Moniuszki Stanisława,2
15-196,Białystok,Moniuszki Stanisława,54
15-201,Białystok,Warszawska,67
15-203,Białystok,Skorupska,2
15-205,Białystok,Nowowarszawska,1
15-206,Białystok,Nowowarszawska,2
15-208,Białystok,Wołyńska,1
15-209,Białystok,Wołyńska,2
15-210,Białystok,Pod Krzywą,72
15-213,Białystok,Mickiewicza Adama,1
15-220,Białystok,Świętojańska 13C,13
15-222,Białystok,Mickiewicza Adama,2
15-223,Białystok,Mickiewicza Adama,44
15-227,Białystok,Podleśna,2
15-232,Białystok,Mickiewicza Adama,22
15-233,Białystok,Podleśna,18
15-245,Białystok,Ciołkowskiego Konstantego,1
15-246,Białystok,Zwierzyniecka,27
15-247,Białystok,Zwierzyniecka,50
15-257,Białystok,Mickiewicza Adama,83
15-258,Białystok,Pod Krzywą,2
15-264,Białystok,Ciołkowskiego Konstantego,2
15-269,Białystok,Waszyngtona Jerzego,1
15-271,Białystok,Wołodyjowskiego Michała,10
15-272,Białystok,Wołodyjowskiego Michała,2
15-274,Białystok,Waszyngtona Jerzego,2
15-277,Białystok,Świętojańska,16
15-281,Białystok,Legionowa,22
15-287,Białystok,Wołodyjowskiego Michała 2A,6
15-294,Białystok,Szpitalna,2
15-295,Białystok,Szpitalna,20
15-297,Białystok,Żelazna,1
15-298,Białystok,Żelazna,2
15-301,Białystok,Mazowiecka,2
15-302,Białystok,Mazowiecka,48
15-304,Białystok,Waszyngtona Jerzego,19
15-305,Białystok,Waszyngtona Jerzego,26
15-306,Białystok,Wesoła,2
15-307,Białystok,Wesoła,1
15-309,Białystok,Wołodyjowskiego Michała,8
15-311,Białystok,Wesoła,20
15-312,Białystok,Zwierzyniecka,1
15-324,Białystok,Kawaleryjska,2
15-325,Białystok,Kawaleryjska,40
15-333,Białystok,Zwierzyniecka,2
15-336,Białystok,Kręta,1
15-336,Białystok,Zielna,2
15-337,Białystok,Pułaskiego Kazimierza,1
15-338,Białystok,Pułaskiego Kazimierza,2
15-339,Białystok,Zielna,12
15-340,Białystok,Wspólna,2
15-345,Białystok,Kręta,2
15-346,Białystok,Wspólna,6
15-351,Białystok,Wiejska,1
15-352,Białystok,Wiejska,2
15-354,Białystok,Pogodna,2
15-357,Białystok,Angielska,34
15-365,Białystok,Pogodna,26
15-367,Białystok,Kopernika Mikołaja,2
15-376,Białystok,Angielska,28
15-377,Białystok,Kopernika Mikołaja 2A,22
15-386,Białystok,Angielska,2
15-396,Białystok,Kopernika Mikołaja,35
15-397,Białystok,Kopernika Mikołaja,24
15-398,Białystok,Jasna,2
15-401,Białystok,Suraska,8
15-404,Białystok,Młynowa,2
15-405,Białystok,Młynowa,62
15-412,Białystok,Jasna,1
15-413,Białystok,Bażantarska,2
15-421,Białystok,Rynek Kościuszki,17
15-422,Białystok,Suraska,2
15-424,Białystok,Lipowa,1
15-426,Białystok,Rynek Kościuszki,2
15-427,Białystok,Lipowa,2
15-429,Białystok,Waryńskiego Ludwika,1
15-431,Białystok,Częstochowska,1
15-432,Białystok,Sienkiewicza Henryka,3
15-452,Białystok,Północna,2
15-455,Białystok,Poleska,71
15-459,Białystok,Częstochowska,2
15-460,Białystok,Waryńskiego Ludwika,3
15-461,Białystok,Waryńskiego Ludwika,2
15-464,Białystok,Włókiennicza,1
15-465,Białystok,Włókiennicza,2
15-467,Białystok,Poleska,46
15-476,Białystok,Poleska,2
15-481,Białystok,Wąska,2
15-482,Białystok,Fabryczna,1
15-483,Białystok,Fabryczna,2
15-489,Białystok,Nowogródzka,1
15-490,Białystok,Nowogródzka,2
15-501,Białystok,Baranowicka,110
15-502,Białystok,Plażowa,2
15-516,Białystok,Ciołkowskiego Konstantego,90
15-517,Białystok,Baranowicka,136
15-518,Białystok,Plażowa,48
15-531,Białystok,Niedźwiedzia,36
15-531,Białystok,Zajęcza,2
15-532,Białystok,Wiewiórcza,38
15-535,Białystok,Żurawia,56
15-535,Białystok,Wiewiórcza,2
15-537,Białystok,Sokola,12
15-540,Białystok,Żurawia,2
15-540,Białystok,Niedźwiedzia,2
15-540,Białystok,Sokola,2
15-544,Białystok,Baranowicka,2
15-545,Białystok,Ciołkowskiego Konstantego 2A,88
15-546,Białystok,Pomorska,36
15-546,Białystok,Zaściańska,34
15-548,Białystok,Kujawska 50 ,51
15-548,Białystok,Pomorska,2
15-548,Białystok,Zaściańska,2
15-549,Białystok,Warmińska,2
15-552,Białystok,Kujawska,2
15-553,Białystok,Warmińska,18
15-554,Białystok,Baranowicka,1
15-554,Białystok,Dojlidy Fabryczne,1
15-555,Białystok,Dojlidy Fabryczne,2
15-560,Białystok,Piaskowa,2
15-561,Białystok,Piaskowa,8
15-570,Białystok,Zajęcza,28
15-631,Białystok,Niewodnicka,2
15-632,Białystok,Niewodnicka,32
15-645,Białystok,Rybnika Aleksandra,2
15-655,Białystok,Rybnika Aleksandra,12
15-681,Białystok,Bacieczki,2
15-685,Białystok,Bacieczki,44
15-686,Białystok,Bacieczki,200
15-730,Białystok,Broniewskiego Władysława 6A,6
15-740,Białystok,Antoniukowska,1
15-741,Białystok,Antoniuk Fabryczny,2
15-748,Białystok,Broniewskiego Władysława,2
15-762,Białystok,Antoniuk Fabryczny,1
15-776,Białystok,Konstytucji,3
15-845,Białystok,Antoniukowska,2
15-874,Białystok,Poleska,48
15-875,Białystok,Północna,1
15-896,Białystok,Bażantarska,9
20-002,Lublin,Krakowskie Przedmieście,2
20-004,Lublin,Narutowicza Gabriela,2
20-011,Lublin,Piłsudskiego Józefa,2
20-013,Lublin,Narutowicza Gabriela,62
20-016,Lublin,Narutowicza Gabriela,24
20-017,Lublin,Narutowicza Gabriela,63
20-019,Lublin,Narutowicza Gabriela,71
20-020,Lublin,Lipowa,1
20-023,Lublin,Chopina Fryderyka,12
20-024,Lublin,Lipowa,10
20-026,Lublin,Chopina Fryderyka,2
20-027,Lublin,Lipowa,2
20-028,Lublin,Aleje Racławickie,2
20-031,Lublin,Radziszewskiego Idziego,2
20-032,Lublin,Langiewicza Mariana,2
20-035,Lublin,Langiewicza Mariana,6
20-036,Lublin,Czwartaków,13
20-036,Lublin,Radziszewskiego Idziego,18
20-037,Lublin,Aleje Racławickie,8
20-038,Lublin,Weteranów,2
20-039,Lublin,Radziszewskiego Idziego,20
20-040,Lublin,Sowińskiego Józefa,2
20-043,Lublin,Aleje Racławickie,26
20-044,Lublin,Weteranów,20
20-045,Lublin,Czwartaków,2
20-046,Lublin,Puławska,2
20-048,Lublin,Legionowa,2
20-049,Lublin,Aleje Racławickie,19
20-051,Lublin,Puławska,19
20-053,Lublin,Legionowa,1
20-057,Lublin,Junoszy Klemensa,2
20-058,Lublin,Junoszy Klemensa,12
20-059,Lublin,Aleje Racławickie,1
20-064,Lublin,Północna,2
20-066,Lublin,Spokojna,12
20-068,Lublin,Leszczyńskiego Stanisława,24
20-069,Lublin,Leszczyńskiego Stanisława,2
20-074,Lublin,Spokojna,2
20-075,Lublin,Chmielna,8
20-076,Lublin,Krakowskie Przedmieście,62
20-079,Lublin,Chmielna,2
20-079,Lublin,Dolna,3
20-084,Lublin,Lubartowska,6
20-085,Lublin,Lubartowska,22
20-093,Lublin,Chodźki Witolda,2
20-094,Lublin,Lubartowska,34
20-102,Lublin,Zamojska,1
20-105,Lublin,Zamojska,2
20-115,Lublin,Lubartowska,2
20-116,Lublin,Lubartowska,27
20-123,Lublin,Lubartowska,43
20-127,Lublin,Walecznych,2
20-129,Lublin,Kalinowszczyzna,2
20-136,Lublin,Walecznych,10
20-139,Lublin,Trześniowska,2
20-146,Lublin,Lubartowska,76
20-152,Lublin,Dożynkowa,2
20-201,Lublin,Kalinowszczyzna,64
20-207,Lublin,Turystyczna,2
20-209,Lublin,Mełgiewska,2
20-211,Lublin,Gospodarcza,34
20-212,Lublin,Łęczyńska,72
20-213,Lublin,Gospodarcza,14
20-217,Lublin,Gospodarcza,2
20-220,Lublin,Łęczyńska,60
20-223,Lublin,Dożynkowa,38
20-227,Lublin,Trześniowska,30
20-230,Lublin,Turystyczna,48
20-231,Lublin,Zadębie,2
20-233,Lublin,Dziubińskiej Heleny,2
20-234,Lublin,Mełgiewska,12
20-251,Lublin,Mełgiewska,152
20-252,Lublin,Dziubińskiej Heleny,82
20-253,Lublin,Zadębie,80
20-254,Lublin,Turystyczna,138
20-309,Lublin,Łęczyńska,2
20-313,Lublin,Łęczyńska,43
20-320,Lublin,Krańcowa,100
20-321,Lublin,Pogodna,2
20-322,Lublin,Lotnicza,2
20-326,Lublin,Dulęby Kazimierza,2
20-337,Lublin,Pogodna,8
20-338,Lublin,Krańcowa,97
20-342,Lublin,Żelazna,2
20-343,Lublin,Pawia,40
20-344,Lublin,Wspólna,2
20-346,Lublin,Długa,2
20-347,Lublin,Rozstajna,2
20-348,Lublin,Pawia,76
20-354,Lublin,Lotnicza,10
20-356,Lublin,Krańcowa,2
20-357,Lublin,Dulęby Kazimierza,1
20-361,Lublin,Wilcza,18
20-363,Lublin,Wspólna,72
20-364,Lublin,Żelazna,60
20-365,Lublin,Długa,62
20-369,Lublin,Rozstajna,24
20-370,Lublin,Wilcza,2
20-371,Lublin,Mickiewicza Adama,2
20-380,Lublin,Głuska,18
20-385,Lublin,Głuska,140
20-391,Lublin,Abramowicka,46
20-407,Lublin,Piłsudskiego Józefa,24
20-409,Lublin,Kunickiego Władysława,1
20-412,Lublin,Kunickiego Władysława,2
20-413,Lublin,Piaskowa,10
20-414,Lublin,Pawia,22
20-417,Lublin,Kunickiego Władysława,17
20-420,Lublin,Piaskowa,2
20-421,Lublin,Pawia,2
20-422,Lublin,Kunickiego Władysława,100
20-430,Lublin,Matejki Jana,6
20-433,Lublin,Mickiewicza Adama,22
20-436,Lublin,Kunickiego Władysława,116
20-437,Lublin,Nadrzeczna,2
20-439,Lublin,Głuska,2
20-441,Lublin,Reja Mikołaja,2
20-442,Lublin,Abramowicka,2
20-443,Lublin,Nadrzeczna,6
20-444,Lublin,Kunickiego Władysława,222
20-445,Lublin,Zemborzycka,40
20-446,Lublin,Świętochowskiego Aleksandra,92
20-447,Lublin,Diamentowa,2
20-450,Lublin,Zemborzycka,2
20-451,Lublin,Kunickiego Władysława,143
20-458,Lublin,Reja Mikołaja,6
20-459,Lublin,Kunickiego Władysława,87
20-464,Lublin,Matejki Jana,2
20-466,Lublin,Mickiewicza Adama,36
20-467,Lublin,Świętochowskiego Aleksandra,2
20-471,Lublin,Diamentowa,22
20-474,Lublin,Smoluchowskiego Mariana,2
20-483,Lublin,Smoluchowskiego Mariana,10
